מספר סידורי,מספר לפי מתחרים,שם המוצר,מקט,שם המוצר מהאתר,חברה/מותג,תאריך,מחיר רגיל,מחיר ליחידה/משקל,מחיר מבצע,מחיר מבצע ליח'
32,11,אל סבון family מארז,7290011223786,סבון פמילי מעורב,פמלי,15/02/2020,13.9,"0.93 ש""ח ל- 100 מ""ל",,
33,12,מי פה מותג הבית,7296073292104,מי פה להלבנה שופרסל,שופרסל,15/02/2020,13.9,"2.78 ש""ח ל- 100 מ""ל",,
34,12,מי פה קולגייט,4078225,מי פה קולגייט פלקס ירוק,קולגייט,15/02/2020,24.9,"4.98 ש""ח ל- 100 מ""ל",,
35,12,מי פה ליסטרין,8116565,מי פה ליסטרין פרש,ליסטרין,15/02/2020,18.9,"3.78 ש""ח ל- 100 מ""ל",,
36,13,ג'ל גילוח מותג הבית,7296073323198,ג'ל גילוח לעור עדין,שופרסל,15/02/2020,12.9,"6.45 ש""ח ל- 100 מ""ל",,
37,13,ג'ל גילוח ג'ילט,7702018405145,ג'ל גילוח סירייס הגנה,ג'ילט,15/02/2020,14.9,"7.45 ש""ח ל- 100 מ""ל",,
38,13,ג'ל גילוח crema,7290011765088,ג'ל גילוח קרמה COOL,קרמה,15/02/2020,16.3,"8.15 ש""ח ל- 100 מ""ל",,
39,14,גרבר - מותג הבית,7296073266990,מחית תפוחי עץ שופרסל,שופרסל,15/02/2020,4.90,"2.58 ש""ח ל- 100 גרם",,
40,14,גרבר,7613036878135,גרבר מחית סלט פירות,גרבר,15/02/2020,5.90,"3.11 ש""ח ל- 100 גרם",,
41,14,פרינוק,7290010065295,"פרינוק מחית תפו""ע + בננה",פרינוק,15/02/2020,4.80,"3.69 ש""ח ל- 100 גרם",,
42,15,תרכובת מזון לתינוק מותג הבית,7296073237440,תרכובת מזון לתינוק שלב 1,שופרסל,15/02/2020,35.00,"5 ש""ח ל- 100 גרם",,
43,15,סימילאק,5391523058087,סימילאק אדבנס פלוס שלב 2,סימילאק אדבנס,15/02/2020,68.90,"9.84 ש""ח ל- 100 גרם",,
44,15,מטרנה,7290013083661,מטרנה אקסטרה קר שלב 1,מטרנה אקסטרה,15/02/2020,59.90,"8.56 ש""ח ל- 100 גרם",,
45,16,גבינה צהובה פרוסות 200 ג' מותג הבית,7296073348191,גבינה צהובה 28%,שופרסל,15/02/2020,7.60,"3.8 ש""ח ל- 100 גרם",,
46,16,נעם 200 ג',7290102394821,גבינה צהובה נעם דק דק28%,טרה,15/02/2020,15.80,"7.9 ש""ח ל- 100 גרם",,
47,16,עמק 200 ג',4122270,גבינת עמק פרוסות 28%,תנובה,15/02/2020,15.80,"7.9 ש""ח ל- 100 גרם",,
48,17,גבינה צהובה משקל 28% מותג הבית,9956887,גבינה צהובה 28%,שופרסל,15/02/2020,29.00,"29 ש""ח ל- 1 ק""ג",,
49,17,נעם משקל 28%,7290102395408,נועם גבינה צהובה28% חריץ,טרה,15/02/2020,42.70,"42.7 ש""ח ל- 1 ק""ג",,
50,17,עמק משקל 28%,55350,גבינת עמק 28% חריץ,תנובה,15/02/2020,42.70,"42.7 ש""ח ל- 1 ק""ג",,
51,18,ממרח חמאה 250 ג' מותג הבית,7296073366393,ממרח חמאה שופרסל,שופרסל,15/02/2020,10.00,"4 ש""ח ל- 100 גרם",,
52,18,ממרח חמאה לורפק,5740900403222,ממרח לורפק+מלח פחות שומן,לורפק,15/02/2020,16.90,"6.76 ש""ח ל- 100 גרם",,
53,18,ממרח חמאה יורוספרד,7290108501773,ממרח חמאה במליחות עדינה,EURO SPREAD,15/02/2020,11.90,"4.76 ש""ח ל- 100 גרם",,
54,19,מרגרינה מותג הבית,7296073344421,מרגרינה ללא תוספת מלח,שופרסל,15/02/2020,3.90,"1.95 ש""ח ל- 100 גרם",,
55,19,מרגרינה בלו-בנד,110059,"מרגרינה בלו-בנד ללת""מ",בלובנד,15/02/2020,4.50,"2.25 ש""ח ל- 100 גרם",,
56,19,מרגרינה שמרית,453880,מרגרינה ללא מלח,שמרית,15/02/2020,4.90,"2.45 ש""ח ל- 100 גרם",,
57,20,שמנת לבישול 15% מותג הבית,7296073236603,שמנת לבישול 15% שופרסל,שופרסל,15/02/2020,6.50,"2.6 ש""ח ל- 100 מ""ל",,
58,20,השף הלבן,4125721,שמנת לבישול 15%שומן,השף הלבן,15/02/2020,8.30,"3.32 ש""ח ל- 100 מ""ל",,
59,20,שמנת לבישול יטבתה,7290105362339,שמנת לבישול 15% מהדרין,יטבתה,15/02/2020,8.40,"3.36 ש""ח ל- 100 מ""ל",,
60,21,שמנת עמידה לקצפת 38% מותג הבית,7296073231561,שמנת עמידה לקצפת 38%,שופרסל,15/02/2020,5.80,"2.32 ש""ח ל- 100 מ""ל",,
61,21,השף הלבן,43814,שמנת עמידה לקצפת 38%,השף הלבן,15/02/2020,6.18,"2.47 ש""ח ל- 100 מ""ל",,
62,21,שמנת עמידה יטבתה,7290104728310,שמנת עמידה לקצפת 38%,יטבתה,15/02/2020,6.18,"2.47 ש""ח ל- 100 גרם",,
63,22,"נקניקיות וינר 1 ק""ג מותג הבית",7296073222279,נקניקיות וינר שופרסל,שופרסל,15/02/2020,23.90,"2.39 ש""ח ל- 100 גרם",,
64,22,זוגלובק,530468,נקניקיות וינר,זוגלובק,15/02/2020,25.90,"2.59 ש""ח ל- 100 גרם",,
65,22,טירת צבי,7290013906212,נקניקיות וינר,טירת צבי,15/02/2020,23.90,"2.39 ש""ח ל- 100 גרם",,
66,23,נקניקיות מרגז 400 ג' מותג הבית,7296073367154,נקניקיות מרגז גריל,שופרסל,15/02/2020,19.90,"4.98 ש""ח ל- 100 גרם",,
67,23,זוגלובק,7290012226007,נקניקיות מרגז,זוגלובק,15/02/2020,20.90,"5.23 ש""ח ל- 100 גרם",,
68,23,טיבון ויל,552118,נקניקיות מרגז גריל חריפה,טיבון ויל,15/02/2020,20.90,"5.23 ש""ח ל- 100 גרם",,
69,24,5 פיתות מותג הבית,9398786,מארז פיתות אסלית,שופרסל,15/02/2020,7.90,"1.58 ש""ח ל- 100 גרם",,
70,24,פיתות תנעמי,3217014,פיתות תנעמי,מאפיית דגנית עין-בר,15/02/2020,7.50,"1.5 ש""ח ל- 1 יחידה",,
71,24,ברמן אסלי,497204,פיתות בשקית,ברמן לחם,15/02/2020,7.80,"1.56 ש""ח ל- 100 גרם",,
72,25, (רמי לוי 10) 6 לחמניות מותג הבית,7296073225072,לחמניות שופרסל,שופרסל,15/02/2020,8.90,"1.98 ש""ח ל- 100 גרם",,
73,25,ברמן,497228,לחמניות רגילות בשקית,ברמן לחם,15/02/2020,10.00,"2.22 ש""ח ל- 100 גרם",,
74,25,אנג'ל,2065555,לחמניות בשקית,אנג'ל מאפיה,15/02/2020,11.50,"2.56 ש""ח ל- 100 גרם",,
75,26,תירוש 1 ל' מותג הבית,7296073322580,מיץ ענבים תירוש,שופרסל,15/02/2020,14.50,"1.45 ש""ח ל- 100 מ""ל",,
76,26,תירוש כרמל,4658625,מיץ ענבים תירוש אדום,תירוש כרמל,15/02/2020,17.90,"1.79 ש""ח ל- 100 מ""ל",,
77,26,יין מתוק לקידוש סגל,24530,יין מתוק לקידוש סגל,סגל,15/02/2020,14.9,"1.99 ש""ח ל- 100 מ""ל",,
78,27,מים מינרליים מותג הבית,7296073009771,מים מינרליים שופרסל,שופרסל,15/02/2020,9.90,"0.11 ש""ח ל- 100 מ""ל",,
79,27,נביעות,2331322,מים מינרליים נביעות,נביעות,15/02/2020,10.90,"0.12 ש""ח ל- 100 מ""ל",,
80,27,מי עדן,688732,מים מינרליים מי עדן,מי עדן,15/02/2020,11.90,"0.13 ש""ח ל- 100 מ""ל",,
81,28,קפה נמס מותג הבית,7296073219255,קפה נמס שופרסל,שופרסל,15/02/2020,13.90,"6.95 ש""ח ל- 100 גרם",,
82,28,קפה נמס עלית,176420,קפה נמס עלית,עלית,15/02/2020,19.90,"9.95 ש""ח ל- 100 גרם",,
83,29,קפה טורקי מותג הבית,7296073134534,קפה טורקי שופרסל,שופרסל,15/02/2020,5.50,"5.5 ש""ח ל- 100 גרם",,
84,29,קפה טורקי עלית,7290106521926,קפה טורקי,עלית,15/02/2020,10.00,"6.67 ש""ח ל- 100 גרם",,
85,30,תה ירוק 25 יח' מותג הבית,7296073323044,תה ירוק לימונית לואיזה,שופרסל,15/02/2020,9.90,"26.76 ש""ח ל- 100 גרם",,
86,30,ויסוצקי,6251275,תה ירוק סיני קלאסי,ויסוצקי,15/02/2020,24.90,"67.3 ש""ח ל- 100 גרם",,
87,30,ליפטון 20 יח',8690637688195,תה ירוק קלאסי ליפטון,ליפטון,15/02/2020,12.90,"43 ש""ח ל- 100 גרם",,
88,31,אבקת שוקו 500 ג' מותג הבית,7296073362036,אבקת שוקו ניקולודיון,שופרסל,15/02/2020,10.80,"2.16 ש""ח ל- 100 גרם",,
89,31,שוקולית עלית,174723,שוקולית בפחית עלית,עלית,15/02/2020,11.90,"2.38 ש""ח ל- 100 גרם",,
90,32,"חומוס 1 ק""ג מותג הבית",7296073224600,חומוס שופרסל,שופרסל,15/02/2020,11.90,"1.19 ש""ח ל- 100 גרם",,
91,32,חומוס אחלה,2987963,חומוס אחלה,אחלה,15/02/2020,13.90,"1.39 ש""ח ל- 100 גרם",,
92,32,חומוס צבר,3727667,סלט חומוס צבר,צבר,15/02/2020,14.90,"1.49 ש""ח ל- 100 גרם",,
93,33,חומוס 30% טחינה 400 גרם מותג הבית,7296073365662,חומוס 30% טחינה,שופרסל,15/02/2020,9.90,"2.48 ש""ח ל- 100 גרם",,
94,33,חומוס אחלה 30% טחינה,7290110564339,חומוס עשיר ב30% טחינה,אחלה,15/02/2020,14.20,"3.55 ש""ח ל- 100 גרם",,
95,33,חומוסטחינה צבר,7290109351025,חומוסטחינה צבר,צבר,15/02/2020,14.10,"3.53 ש""ח ל- 100 גרם",,
96,34,כרוב אדום 400 גרם מותג הבית,7296073328940,כרוב אדום 7% שומן שופרסל,שופרסל,15/02/2020,9.90,"2.48 ש""ח ל- 100 גרם",,
97,34,כרוב אדום אחלה,2825722,כרוב אדום אחלה,אחלה,15/02/2020,14.20,"2.84 ש""ח ל- 100 גרם",,
98,34,כרוב אדום צבר,7290106577541,כרוב אדום מרובע צבר,צבר,15/02/2020,12.40,"3.1 ש""ח ל- 100 גרם",,
99,35,מטבוחה 400 גרם מותג הבית,7296073225768,סלט מטבוחה שופרסל,שופרסל,15/02/2020,9.90,"2.48 ש""ח ל- 100 גרם",,
100,35,מטבוחה אחלה,7290010931330,סלט מטבוחה אחלה,אחלה,15/02/2020,14.20,"2.84 ש""ח ל- 100 גרם",,
101,35,מטבוחה צבר,7290111563492,סלט מטבוחה חריפה צבר,צבר,15/02/2020,11.50,"2.88 ש""ח ל- 100 גרם",,
102,36,פיצה קפואה מותג הבית,7296073225461,פיצה מרגריטה,שופרסל,15/02/2020,15.90,"4.42 ש""ח ל- 100 גרם",,
103,36,פיצה שלושת האופים,2129479,פיצה איטלקית דקה,שלושת האופים,15/02/2020,12.90,"4.03 ש""ח ל- 100 גרם",,
104,36,פיצה מעדנות,7290014218130,פיצה דקה גבינה,מעדנות,15/02/2020,16.90,"4.45 ש""ח ל- 100 גרם",,
105,37,שניצל תירס 750 גרם מותג הבית,7296073204879,שניצל תירס שופרסל,שופרסל,15/02/2020,19.90,"2.65 ש""ח ל- 100 גרם",,
106,37,שניצל תירס טבעול,300900,שניצל תירס טבעול,טבעול,15/02/2020,24.90,"3.32 ש""ח ל- 100 גרם",,
107,37,שניצל תירס זוגלובק,6742209,שניצל תירס,זוגלובק,15/02/2020,25.90,"2.59 ש""ח ל- 100 גרם",,
108,38,קמח חיטה לבן מותג הבית,7296073021568,קמח לבן שופרסל,שופרסל,15/02/2020,3.60,"0.36 ש""ח ל- 100 גרם",,
109,38,קמח לבן דגן,3107216,קמח לבן,טחנת קמח דגן,15/02/2020,4.90,"0.49 ש""ח ל- 100 גרם",,
110,39,קמח תופח מותג הבית,7296073021575,קמח תופח מאיליו שופרסל,שופרסל,15/02/2020,5.90,"0.59 ש""ח ל- 100 גרם",,
111,39,קמח תופח סוגת,7290100702383,קמח תופח,סוגת,15/02/2020,6.90,"0.69 ש""ח ל- 100 גרם",,
112,39,קמח תופח אסם,63157,קמח תופח מאליו,אסם,15/02/2020,8.90,"0.89 ש""ח ל- 100 גרם",,
113,40,שמן קנולה 1 ל' מותג הבית,7296073033752,שמן קנולה שופרסל,שופרסל,15/02/2020,7.50,"0.75 ש""ח ל- 100 מ""ל",,
114,40,שמן קנולה עץ הזית,144474,שמן קנולה עם נוגדי חמצון,עץ הזית,15/02/2020,14.90,"1.49 ש""ח ל- 100 מ""ל",,
115,40,שמן קנולה בורחס/ מילומור,8410179014821,שמן קנולה מכיל ויטמין E,בורחס שמנים,15/02/2020,12.90,"1.29 ש""ח ל- 100 מ""ל",,
116,41,שמן זית 750 מ' מותג הבית,7296073223009,שמן זית כתית מעולה,שופרסל,15/02/2020,29.90,"3.99 ש""ח ל- 100 מ""ל",,
117,41,שמן זית עץ הזית,7290017142128,שמן זית כתית קלאסי,עץ הזית,15/02/2020,27.90,"3.72 ש""ח ל- 100 מ""ל",,
118,41,שמן זית יד מרדכי,7290010429554,שמן זית 2 קלאסי,יד מרדכי,15/02/2020,33.90,"4.52 ש""ח ל- 100 מ""ל",,
119,42,פתיתים מותג הבית,7296073129448,פתיתים טבעות שופרסל,שופרסל,15/02/2020,4.50,"0.9 ש""ח ל- 100 גרם",,
120,42,פתיתים אסם,60200,פתיתים אפויים קוסקוס,אסם,15/02/2020,6.90,"1.38 ש""ח ל- 100 גרם",,
121,42,פתיתים סוגת,7290100702628,פתיתים אפויים קוסקוס,סוגת,15/02/2020,4.90,"0.98 ש""ח ל- 100 גרם",,
122,43,אורז 1 קילו מותג הבית,7296073286011,אורז פרסי זיפר שופרסל,שופרסל,15/02/2020,6.90,"0.69 ש""ח ל- 100 גרם",,
123,43,אורז פרסי קלאסי סוגת,211442,אורז פרסי קלאסי סוגת,סוגת,15/02/2020,9.90,"0.99 ש""ח ל- 100 גרם",,
124,43,אורז ויליפוד,8901537024014,אורז בסמטי מובחר דווט,וילי פוד,15/02/2020,12.90,"1.29 ש""ח ל- 100 גרם",,
125,44,שקדי מרק 400 גרם מותג הבית,7296073346814,שקדי מרק זיפר,שופרסל,15/02/2020,7.90,"1.98 ש""ח ל- 100 גרם",,
126,44,שקדי מרק מנה,3514007,שקדי מרק מנה,מנה,15/02/2020,7.90,"1.98 ש""ח ל- 100 גרם",,
127,44,שקדי מרק אסם,63140,שקדי מרק רכיבים טבעיים,אסם,15/02/2020,10.00,"2.5 ש""ח ל- 100 גרם",,
128,45,טחינה גולמית מותג הבית,7296073244875,טחינה גולמית,שופרסל,15/02/2020,10.90,"2.18 ש""ח ל- 100 גרם",,
129,45,טחינה גולמית בארכה,112220,טחינה גולמית 100% שומשום,בארכה,15/02/2020,11.90,"2.38 ש""ח ל- 100 גרם",,
130,45,טחינה ירושלים,7290010627004,טחינה ירושלים,טחינה ירושלים,15/02/2020,13.90,"2.78 ש""ח ל- 100 גרם",,
131,46,"מיונז 500 ג'/ 1 ק""ג מותג הבית",7296073205081,מיונז אמיתי שופרסל,שופרסל,15/02/2020,7.90,"1.58 ש""ח ל- 100 גרם",,
132,46,מיונז תלמה,111186,מיונז אמיתי תלמה,תלמה,15/02/2020,9.90,"1.98 ש""ח ל- 100 גרם",,
133,46,מיונז הלמנס,120836,מיונז הלמנס,הלמנס,15/02/2020,10.00,"2.54 ש""ח ל- 100 גרם",,
134,47,רסק עגבניות 22% 260 ג מותג הבית,7296073225492,רוטב עגבניות מרוכז 22%,שופרסל,15/02/2020,3.10,"1.19 ש""ח ל- 100 גרם",,
135,47,רסק עגבניות פריניר,2019787,רוטב עגבניות מרוכז מאוד,פרי ניר,15/02/2020,3.60,"1.38 ש""ח ל- 100 גרם",,
136,47,רסם עגבניות פריכוז,207063,רוטב עגבניות פריכוז,יכין,15/02/2020,4.10,"1.58 ש""ח ל- 100 גרם",,
137,48,טונה בשמן מותג הבית,7296073206682,טונה בשמן קנולה מארז,שופרסל,15/02/2020,19.90,"3.11 ש""ח ל- 100 גרם",,
138,48,טונה ויליגר,2929642,טונה בשמן,ויליגר,15/02/2020,19.90,"3.55 ש""ח ל- 100 גרם",,
139,48,טונה סטארקיסט,5287206,טונה  בשמן סטארקיסט,סטארקיסט,15/02/2020,21.90,"3.42 ש""ח ל- 100 גרם",,
140,49,"דבש 350 ג'/ 1 ק""ג מותג הבית",7296073078579,דבש טבעי שופרסל,שופרסל,15/02/2020,16.90,"4.83 ש""ח ל- 100 גרם",,
141,49,דבש יד מרדכי,2130567,דבש טהור יד מרדכי,יד מרדכי,15/02/2020,19.90,"5.69 ש""ח ל- 100 גרם",,
142,49,דבש עמק חפר,2479352,דבש מפרחי בר,עמק חפר,15/02/2020,17.50,"5 ש""ח ל- 100 גרם",,
