מספר סידורי,מספר לפי מתחרים,שם המוצר,מקט,שם המוצר מהאתר,חברה/מותג,תאריך,מחיר רגיל,מחיר ליחידה/משקל,מחיר מבצע,מחיר מבצע ליח'
107,38,פתי בר עלית,7290001813881,פתי בר קלאסי 500 גרם,עלית,2020-04-16 05:56:45,9.90,0.0396,,
108,39,תחבושת היגיינית מותג הבית ,7290111977589,תחבושות הגיניות סופר,לא ידוע,2019-03-03 16:16:15,11.90,0.4958,,
109,39,תחבושת קוטקס,5029053510828,תחבושות סופר פלוס עם,קוטקס,2016-11-02 15:17:12,18.90,0.7875,,
110,39,תחבושת לילי,7290000193649,תחבושות עם כנפיים נו,לילי,2016-06-03 07:20:00,14.90,0.6208,,
111,40,רסק עגבניות מותג הבית 100 מ''ל,7290016609233,רסק עגבניות 100 גר ר,לא ידוע,2017-05-04 14:06:10,1.30,0.0130,,
112,40,רסק עגבניות יכין,7290000207162,יכין רוטב עגבניות 10,יכין,2019-05-17 06:20:33,1.50,0.0150,,
113,40,רסק עגבניות פרי ניר,7290002019794,רסק עגבניות 22% פרינ,פריניר,2018-11-04 10:29:06,1.30,0.0130,,
114,41,טונה בשמן מותג הבית,7290016096415,רביעיית טונה בשמן צמ,לא ידוע,2018-03-15 07:45:55,19.90,0.0444,,
115,42,טונה בשמן ויליגר,7290002929642,טונה ויליגר 392 גרם,ויליגר,2019-11-08 08:17:42,17.90,0.0457,,
116,43,טונה בשמן סטארקיסט,7290005287206,טונה סטארקיסט רביעיו,סטארקיסט,2020-05-12 13:24:40,23.90,0.0486,,
117,44,בורקס גבינה מותג הבית,7290002735847,בורקס גבינה רמי לוי,ינון,2017-07-17 14:44:44,12.90,0.0161,,
118,44,בורקס גבינה מעדנות,7290000238173,בורקס גבינה מעדנות 8,מעדנות,2016-11-02 10:41:36,19.90,0.0249,,
119,44,בורס גבינה ינון,7290002735113,בורקס גבינה ינון 800,קפוא-זן,2014-07-02 11:12:36,15.10,0.0189,,
120,45,"בורקס תפו""א מותג הבית",7290002735830,בורקס תפוא רמי לוי 8,ינון,2017-07-17 14:44:44,10.90,0.0136,,
121,45,"בורקס תפו""א מעדנות",7290000238180,בורקס תפוחי אדמה מעד,מעדנות,2016-09-15 07:18:11,16.90,0.0211,,
122,45,"בורקס תפו""א שלושת האופים",7290002327042,בורקס תפוחי אדמה שלו,שלושת האופים,2013-12-31 08:14:30,19.20,0.0240,,
123,46,שניצל עוף מותג הבית,7290016865080,שניצל דק בציפוי שומש,לא ידוע,2017-07-09 12:57:26,25.90,0.0370,,
124,46,שניצל עוף טוב,7290000159034,שניצל עוף ביתי קריספ,עוף טוב,2019-02-01 09:47:54,29.90,0.0427,,
125,46,שניצל מאמא עוף,7290008409582,שניצל עוף אמיתי בציפ,מאמא עוף,2018-12-02 14:33:35,41.70,0.0596,,
126,47,שניצלנונים מותג הבית,7290015681100,שניצלונים בציפוי שומ,רמי לוי,2017-07-17 12:26:13,22.90,0.0382,,
127,47,שניצלונים מאמא עוף,7290008409100,אצבעות שניצל בציפוי,מאמא עוף,2013-12-22 09:12:49,35.30,0.0504,,
