מספר סידורי,מספר לפי מתחרים,שם המוצר,מקט,שם המוצר מהאתר,חברה/מותג,תאריך,מחיר רגיל,מחיר ליחידה/משקל,מחיר מבצע,מחיר מבצע ליח'
97,34,כרוב אדום אחלה,2825722,כרוב אדום אחלה,,15/01/2020,14.20,"2.84 ש""ח ל- 100 גרם",,
98,34,כרוב אדום צבר,7290106577541,כרוב אדום מרובע צבר,,15/01/2020,12.40,"3.1 ש""ח ל- 100 גרם",,
99,35,מטבוחה 400 גרם,7296073225768,סלט מטבוחה שופרסל,,15/01/2020,9.90,"2.48 ש""ח ל- 100 גרם",,
100,35,מטבוחה אחלה,7290010931330,סלט מטבוחה אחלה,,15/01/2020,14.20,"2.84 ש""ח ל- 100 גרם",,
101,35,מטבוחה צבר,7290111563492,סלט מטבוחה חריפה צבר,,15/01/2020,11.50,"2.88 ש""ח ל- 100 גרם",,
102,36,פיצה מרגריטה קפואה,7296073225461,פיצה מרגריטה,,15/01/2020,15.90,"4.42 ש""ח ל- 100 גרם",,
103,36,פיצה שלושת האופים,2129479,פיצה איטלקית דקה,,15/01/2020,12.90,"4.03 ש""ח ל- 100 גרם",,
104,36,פיצה מעדנות,7290014218130,פיצה דקה גבינה,,15/01/2020,16.90,"4.45 ש""ח ל- 100 גרם",,
105,37,שניצל תירס 750 גרם,7296073204879,שניצל תירס שופרסל,,15/01/2020,19.90,"2.65 ש""ח ל- 100 גרם",,
106,37,שניצל תירס טבעול,300900,שניצל תירס טבעול,,15/01/2020,22.70,"3.03 ש""ח ל- 100 גרם",,
107,37,שניצל תירס זוגלובק,6742209,שניצל תירס,,15/01/2020,25.90,"2.59 ש""ח ל- 100 גרם",,
108,38,קמח חיטה לבן בהיר,7296073021568,קמח לבן שופרסל,,15/01/2020,3.60,"0.36 ש""ח ל- 100 גרם",,
109,38,קמח לבן דגן,3107216,קמח לבן,,15/01/2020,4.90,"0.49 ש""ח ל- 100 גרם",,
110,39,קמח תופח,7296073021575,קמח תופח מאיליו שופרסל,,15/01/2020,5.90,"0.59 ש""ח ל- 100 גרם",,
111,39,קמח תופח סוגת,7290100702383,קמח תופח,,15/01/2020,6.90,"0.69 ש""ח ל- 100 גרם",,
112,39,קמח תופח אסם,63157,קמח תופח מאליו,,15/01/2020,8.90,"0.89 ש""ח ל- 100 גרם",,
113,40,שמן קנולה 1 ל',7296073033752,שמן קנולה שופרסל,,15/01/2020,7.50,"0.75 ש""ח ל- 100 מ""ל",,
114,40,שמן קנולה עץ הזית,144474,שמן קנולה עם נוגדי חמצון,,15/01/2020,12.90,"1.29 ש""ח ל- 100 מ""ל",,
115,40,שמן קנולה בורחס,8410179014821,שמן קנולה מכיל ויטמין E,,15/01/2020,10.00,"1 ש""ח ל- 100 מ""ל",,
116,41,שמן זית 750 מ',7296073223009,שמן זית כתית מעולה,,15/01/2020,29.90,"3.99 ש""ח ל- 100 מ""ל",,
117,41,שמן זית עץ הזית,7290017142128,שמן זית כתית קלאסי,,15/01/2020,29.90,"3.99 ש""ח ל- 100 מ""ל",,
118,41,שמן זית יד מרדכי,7290010429554,שמן זית 2 קלאסי,,15/01/2020,33.90,"4.52 ש""ח ל- 100 מ""ל",,
